1.34064, -8.64268, -0.856902
1.36947, -8.6351, -0.881185
1.36946, -8.44623, -0.881177
1.37187, -8.28002, -0.883209
1.36233, -8.04848, -0.875171
1.35938, -7.86504, -0.872686
1.35489, -7.67985, -0.868907
1.35384, -7.52116, -0.868022
1.35351, -7.37237, -0.867743
1.34828, -7.20234, -0.86334
1.34431, -7.04514, -0.859994
1.34653, -6.92597, -0.861864
1.35137, -6.82435, -0.86594
1.34751, -6.68216, -0.862691
1.35305, -6.59139, -0.867358
1.35603, -6.49102, -0.869869
1.35636, -6.3811, -0.870142
1.36599, -6.31853, -0.878255
1.37274, -6.24441, -0.883939
1.38007, -6.17515, -0.890117
1.38333, -6.0896, -0.892862
1.39256, -6.03289, -0.900637
1.40387, -5.98674, -0.910157
1.41086, -5.92335, -0.91605
1.41723, -5.85905, -0.921418
1.42665, -5.80909, -0.929352
1.43717, -5.76485, -0.938207
1.44457, -5.70919, -0.944446
1.4399, -5.60702, -0.94051
1.44914, -5.56192, -0.948288
1.45465, -5.50356, -0.952935
1.45358, -5.4216, -0.952035
1.45855, -5.36431, -0.956218
1.45014, -5.259, -0.949136
1.45166, -5.19247, -0.95041
1.45066, -5.11851, -0.949571
1.45052, -5.04935, -0.949454
1.447, -4.96998, -0.946489
1.45057, -4.91694, -0.949493
1.44449, -4.83221, -0.944371
1.44175, -4.7607, -0.942066
1.43716, -4.68465, -0.9382
1.44088, -4.63755, -0.941331
1.43714, -4.56731, -0.938187
1.43934, -4.51756, -0.940037
1.43626, -4.45218, -0.937439
1.43572, -4.39613, -0.936988
1.43514, -4.3411, -0.936496
1.43934, -4.30178, -0.940041
1.43447, -4.2359, -0.935938
1.43381, -4.18389, -0.93538
1.43314, -4.13288, -0.934814
1.43184, -4.08105, -0.933719
1.43593, -4.04569, -0.937165
1.43117, -3.98584, -0.933152
1.43088, -3.93972, -0.93291
1.43129, -3.89639, -0.933256
1.43242, -3.85584, -0.934213
1.43099, -3.80905, -0.933005
1.42994, -3.76415, -0.932122
1.43708, -3.74175, -0.938133
1.43522, -3.69608, -0.936566
1.43274, -3.64961, -0.934476
1.43101, -3.6059, -0.933025
1.42377, -3.54896, -0.926926
1.4236, -3.51079, -0.926777
1.42925, -3.48774, -0.931535
1.43082, -3.45497, -0.932859
1.42822, -3.41257, -0.930668
1.43083, -3.38345, -0.932871
1.43107, -3.3491, -0.933075
1.42889, -3.30956, -0.931234
1.42759, -3.27273, -0.930138
1.42418, -3.23163, -0.927271
1.42926, -3.2106, -0.931549
1.4262, -3.17139, -0.928967
1.42636, -3.14004, -0.929107
1.42712, -3.11048, -0.929748
1.42498, -3.07496, -0.92794
1.41868, -3.03094, -0.922637
1.42363, -3.01185, -0.926801
1.42327, -2.98168, -0.926504
1.42597, -2.95838, -0.928772
1.43218, -2.94273, -0.934004
1.42852, -2.90677, -0.930921
1.42629, -2.87428, -0.929042
1.42345, -2.84103, -0.926655
1.41959, -2.80619, -0.923402
1.42684, -2.79403, -0.929513
1.42265, -2.75933, -0.925977
1.43099, -2.74967, -0.933006
1.42904, -2.72007, -0.931358
1.42433, -2.68559, -0.92739
1.42288, -2.65781, -0.926171
1.42519, -2.63749, -0.928122
1.42258, -2.60818, -0.925918
1.42862, -2.59529, -0.931007
1.42261, -2.56039, -0.925946
1.42533, -2.54185, -0.928239
1.42571, -2.51928, -0.928556
1.43049, -2.50482, -0.932579
1.43246, -2.48553, -0.934244
1.4261, -2.45184, -0.928885
